language,total_posts,manipulative_posts,review_posts,review_high_posts,avg_risk,manipulative_rate,review_high_rate
en,145184,4240,4486,8726,0.12154003886717343,0.029204320035265595,0.06010304165748292
ja,4859,43,80,123,0.133481011929712,0.008849557522123894,0.02531385058654044
tr,2616,41,30,71,0.08318944571051658,0.015672782874617736,0.027140672782874617
es,15002,36,140,176,0.08585975903547731,0.0023996800426609784,0.011731769097453673
pt,9495,31,479,510,0.09217649786977093,0.003264876250658241,0.053712480252764615
de,3720,25,44,69,0.09767419808752388,0.006720430107526882,0.018548387096774192
fr,5773,21,50,71,0.09401685541684572,0.003637623419366014,0.012298631560713667
ru,1534,14,3,17,0.0891124727304663,0.009126466753585397,0.01108213820078227
pl,499,12,10,22,0.11090287834726055,0.02404809619238477,0.04408817635270541
it,1861,11,24,35,0.10522806212892354,0.005910800644814616,0.018807092960773777
ar,3206,9,315,324,0.17441904534092548,0.0028072364316905803,0.10106051154086089
km,5,4,0,4,0.7843650311971826,0.8,0.8
ko,121,4,3,7,0.17689022561944895,0.03305785123966942,0.05785123966942149
th,74,3,1,4,0.1719151017951536,0.04054054054054054,0.05405405405405406
id,320,3,4,7,0.10074587046736108,0.009375,0.021875
da,172,2,2,4,0.11025205090598403,0.011627906976744186,0.023255813953488372
sv,364,2,0,2,0.093583430784742,0.005494505494505495,0.005494505494505495
fa,674,2,1,3,0.0843442672651714,0.002967359050445104,0.004451038575667656
zh,901,2,27,29,0.1304453810991724,0.0022197558268590455,0.03218645948945616
ie,1,1,0,1,0.7200000000000001,1.0,1.0
et,15,1,4,5,0.2608724789062406,0.06666666666666667,0.3333333333333333
la,24,1,1,2,0.19114316166010223,0.041666666666666664,0.08333333333333333
mk,33,1,0,1,0.08706762042994245,0.030303030303030304,0.030303030303030304
sk,37,1,0,1,0.14020301571389712,0.02702702702702703,0.02702702702702703
ms,38,1,1,2,0.15569844395504379,0.02631578947368421,0.05263157894736842
sw,48,1,0,1,0.07803288426304952,0.020833333333333332,0.020833333333333332
eo,62,1,0,1,0.1499490625065176,0.016129032258064516,0.016129032258064516
