hour,posts,suspicious_posts,high_posts,avg_risk,suspicious_share
2024-11-14 19:00:00+00:00,19652,772,361,0.10930920690193632,0.039283533482597194
2024-11-14 20:00:00+00:00,19521,780,373,0.1096319491095756,0.03995696941755033
2024-11-19 19:00:00+00:00,19963,821,369,0.1068026932241605,0.04112608325401994
2024-11-19 20:00:00+00:00,20433,794,368,0.10441044110328293,0.03885870895120638
2024-11-20 19:00:00+00:00,20670,878,385,0.10722096656236434,0.0424770198355104
2024-11-20 20:00:00+00:00,19245,738,310,0.10660437533115179,0.03834762275915822
2024-11-21 19:00:00+00:00,20371,831,387,0.1090613123740999,0.04079328457120416
2024-11-21 20:00:00+00:00,20585,856,396,0.10947439366612094,0.0415836774350255
2024-11-22 19:00:00+00:00,20985,844,382,0.10675494837981594,0.040219204193471525
2024-11-22 20:00:00+00:00,18575,719,332,0.10828062098616477,0.038707940780619114
